model,domain,type,position,mean_drci_cold,sem_drci_cold,mean_drci_scrambled,disruption_sensitivity
GPT-4o-mini,philosophy,closed,25,0.166167,0.005764,0.115175,-0.050992
GPT-4o-mini,philosophy,closed,26,0.382131,0.008896,0.193003,-0.189128
GPT-4o-mini,philosophy,closed,27,0.083693,0.003749,0.083091,-0.000602
GPT-4o-mini,philosophy,closed,28,0.400531,0.009549,0.203430,-0.197101
GPT-4o-mini,philosophy,closed,29,0.217540,0.005156,0.131575,-0.085965
GPT-4o-mini,philosophy,closed,30,0.354085,0.007556,0.192340,-0.161745
GPT-4o,philosophy,closed,1,0.003180,0.000818,0.009377,0.006198
GPT-4o,philosophy,closed,2,0.185669,0.005520,0.210066,0.024397
GPT-4o,philosophy,closed,3,0.122762,0.002927,0.133304,0.010542
GPT-4o,philosophy,closed,4,0.117222,0.004816,0.144141,0.026919
GPT-4o,philosophy,closed,5,0.768692,0.010410,0.183180,-0.585512
GPT-4o,philosophy,closed,6,0.415689,0.006520,0.317802,-0.097887
GPT-4o,philosophy,closed,7,0.401162,0.012066,0.273349,-0.127813
GPT-4o,philosophy,closed,8,0.233022,0.007448,0.236269,0.003247
GPT-4o,philosophy,closed,9,0.417810,0.010850,0.300757,-0.117052
GPT-4o,philosophy,closed,10,0.386162,0.009200,0.218115,-0.168047
GPT-4o,philosophy,closed,11,0.630460,0.010700,0.283472,-0.346988
GPT-4o,philosophy,closed,12,0.202400,0.005488,0.168093,-0.034307
GPT-4o,philosophy,closed,13,0.335119,0.011351,0.201675,-0.133444
GPT-4o,philosophy,closed,14,0.270832,0.005579,0.167132,-0.103701
GPT-4o,philosophy,closed,15,0.133366,0.004823,0.140366,0.007000
GPT-4o,philosophy,closed,16,0.108507,0.003994,0.115182,0.006675
GPT-4o,philosophy,closed,17,0.207832,0.006156,0.166889,-0.040943
GPT-4o,philosophy,closed,18,0.479116,0.013228,0.182268,-0.296848
GPT-4o,philosophy,closed,19,0.460471,0.012127,0.253762,-0.206710
GPT-4o,philosophy,closed,20,0.241388,0.010967,0.187382,-0.054006
GPT-4o,philosophy,closed,21,0.130365,0.006529,0.118200,-0.012165
GPT-4o,philosophy,closed,22,0.189478,0.006552,0.171878,-0.017600
GPT-4o,philosophy,closed,23,0.308682,0.010911,0.215738,-0.092944
GPT-4o,philosophy,closed,24,0.147288,0.005883,0.124914,-0.022374
GPT-4o,philosophy,closed,25,0.162782,0.007345,0.135347,-0.027435
GPT-4o,philosophy,closed,26,0.440864,0.012789,0.238701,-0.202162
GPT-4o,philosophy,closed,27,0.088313,0.003025,0.085105,-0.003207
GPT-4o,philosophy,closed,28,0.347462,0.011859,0.278838,-0.068624
GPT-4o,philosophy,closed,29,0.195472,0.008481,0.167294,-0.028178
GPT-4o,philosophy,closed,30,0.360030,0.008714,0.185596,-0.174434
Claude Haiku,philosophy,closed,1,0.020553,0.002440,0.425304,0.404751
Claude Haiku,philosophy,closed,2,0.264663,0.010230,0.377889,0.113225
Claude Haiku,philosophy,closed,3,0.140779,0.004349,0.289284,0.148505
Claude Haiku,philosophy,closed,4,0.176696,0.006758,0.204411,0.027715
Claude Haiku,philosophy,closed,5,0.634382,0.009182,0.255896,-0.378486
Claude Haiku,philosophy,closed,6,0.385759,0.010117,0.300086,-0.085673
Claude Haiku,philosophy,closed,7,0.247498,0.006268,0.259473,0.011975
Claude Haiku,philosophy,closed,8,0.340988,0.010053,0.301293,-0.039695
Claude Haiku,philosophy,closed,9,0.479644,0.013249,0.343766,-0.135878
Claude Haiku,philosophy,closed,10,0.491835,0.009555,0.340946,-0.150888
Claude Haiku,philosophy,closed,11,0.568421,0.009928,0.344913,-0.223508
Claude Haiku,philosophy,closed,12,0.275973,0.006725,0.244159,-0.031814
Claude Haiku,philosophy,closed,13,0.405149,0.010627,0.261842,-0.143306
Claude Haiku,philosophy,closed,14,0.279981,0.007795,0.273247,-0.006734
Claude Haiku,philosophy,closed,15,0.203994,0.005791,0.236359,0.032365
Claude Haiku,philosophy,closed,16,0.239094,0.007957,0.259618,0.020524
Claude Haiku,philosophy,closed,17,0.367568,0.008684,0.326023,-0.041545
Claude Haiku,philosophy,closed,18,0.516275,0.010501,0.277918,-0.238357
Claude Haiku,philosophy,closed,19,0.423704,0.011522,0.317280,-0.106424
Claude Haiku,philosophy,closed,20,0.381325,0.010056,0.271646,-0.109679
Claude Haiku,philosophy,closed,21,0.288671,0.009813,0.240511,-0.048160
Claude Haiku,philosophy,closed,22,0.264685,0.005995,0.242559,-0.022126
Claude Haiku,philosophy,closed,23,0.234101,0.006396,0.237395,0.003294
Claude Haiku,philosophy,closed,24,0.448322,0.010330,0.313970,-0.134352
Claude Haiku,philosophy,closed,25,0.350211,0.009203,0.295900,-0.054310
Claude Haiku,philosophy,closed,26,0.406381,0.009575,0.314096,-0.092285
Claude Haiku,philosophy,closed,27,0.200620,0.006175,0.203901,0.003281
Claude Haiku,philosophy,closed,28,0.322556,0.008274,0.299819,-0.022737
Claude Haiku,philosophy,closed,29,0.275374,0.008054,0.256154,-0.019220
Claude Haiku,philosophy,closed,30,0.281783,0.006849,0.255879,-0.025905
Gemini Flash,philosophy,closed,1,0.039964,0.002988,0.084180,0.044216
Gemini Flash,philosophy,closed,2,0.332348,0.016461,0.269004,-0.063344
Gemini Flash,philosophy,closed,3,0.125227,0.013530,0.220922,0.095695
Gemini Flash,philosophy,closed,4,0.336019,0.017390,0.217190,-0.118828
Gemini Flash,philosophy,closed,5,0.454452,0.028990,0.489289,0.034837
Gemini Flash,philosophy,closed,6,0.484777,0.026685,0.415001,-0.069776
Gemini Flash,philosophy,closed,7,0.497397,0.019148,0.448550,-0.048847
Gemini Flash,philosophy,closed,8,0.427161,0.017915,0.339574,-0.087587
Gemini Flash,philosophy,closed,9,0.447800,0.014616,0.458034,0.010235
Gemini Flash,philosophy,closed,10,0.265346,0.015364,0.300782,0.035436
Gemini Flash,philosophy,closed,11,0.623045,0.014658,0.416961,-0.206085
Gemini Flash,philosophy,closed,12,0.144995,0.005222,0.128176,-0.016820
Gemini Flash,philosophy,closed,13,0.262007,0.010366,0.223292,-0.038716
Gemini Flash,philosophy,closed,14,0.334660,0.016853,0.329201,-0.005460
Gemini Flash,philosophy,closed,15,0.128510,0.006466,0.162413,0.033903
Gemini Flash,philosophy,closed,16,0.317637,0.017388,0.273494,-0.044143
Gemini Flash,philosophy,closed,17,0.328066,0.013669,0.288659,-0.039407
Gemini Flash,philosophy,closed,18,0.560296,0.018083,0.393855,-0.166441
Gemini Flash,philosophy,closed,19,0.421343,0.016245,0.435043,0.013700
Gemini Flash,philosophy,closed,20,0.330538,0.011429,0.258624,-0.071913
Gemini Flash,philosophy,closed,21,0.354547,0.021229,0.297330,-0.057217
Gemini Flash,philosophy,closed,22,0.199233,0.013999,0.223562,0.024329
Gemini Flash,philosophy,closed,23,0.337309,0.017224,0.239054,-0.098255
Gemini Flash,philosophy,closed,24,0.378655,0.023920,0.344022,-0.034633
Gemini Flash,philosophy,closed,25,0.239746,0.012672,0.208947,-0.030799
Gemini Flash,philosophy,closed,26,0.463008,0.015302,0.417852,-0.045156
Gemini Flash,philosophy,closed,27,0.109718,0.006065,0.114345,0.004627
Gemini Flash,philosophy,closed,28,0.407953,0.018336,0.370660,-0.037292
Gemini Flash,philosophy,closed,29,0.406319,0.017876,0.358001,-0.048318
Gemini Flash,philosophy,closed,30,0.381274,0.017191,0.237007,-0.144266
DeepSeek V3.1,philosophy,open,1,0.045007,0.008503,0.114235,0.069228
DeepSeek V3.1,philosophy,open,2,0.232825,0.009663,0.288910,0.056086
DeepSeek V3.1,philosophy,open,3,0.237398,0.010782,0.239617,0.002218
DeepSeek V3.1,philosophy,open,4,0.280744,0.009540,0.249550,-0.031194
DeepSeek V3.1,philosophy,open,5,0.270740,0.011566,0.235383,-0.035357
DeepSeek V3.1,philosophy,open,6,0.450630,0.008425,0.273003,-0.177627
DeepSeek V3.1,philosophy,open,7,0.286672,0.008114,0.222885,-0.063787
DeepSeek V3.1,philosophy,open,8,0.246708,0.008144,0.248229,0.001522
DeepSeek V3.1,philosophy,open,9,0.357323,0.009480,0.280949,-0.076374
DeepSeek V3.1,philosophy,open,10,0.246178,0.007983,0.267711,0.021533
DeepSeek V3.1,philosophy,open,11,0.418665,0.010710,0.302924,-0.115741
DeepSeek V3.1,philosophy,open,12,0.278142,0.008125,0.197209,-0.080933
DeepSeek V3.1,philosophy,open,13,0.373714,0.011883,0.244704,-0.129010
DeepSeek V3.1,philosophy,open,14,0.336088,0.012715,0.268716,-0.067372
DeepSeek V3.1,philosophy,open,15,0.210047,0.007227,0.193328,-0.016719
DeepSeek V3.1,philosophy,open,16,0.213061,0.008685,0.188868,-0.024193
DeepSeek V3.1,philosophy,open,17,0.401156,0.009171,0.320032,-0.081124
DeepSeek V3.1,philosophy,open,18,0.419904,0.013006,0.205587,-0.214317
DeepSeek V3.1,philosophy,open,19,0.416961,0.011733,0.278507,-0.138453
DeepSeek V3.1,philosophy,open,20,0.346736,0.010634,0.221543,-0.125193
DeepSeek V3.1,philosophy,open,21,0.311293,0.009865,0.257135,-0.054158
DeepSeek V3.1,philosophy,open,22,0.219260,0.007958,0.211657,-0.007603
DeepSeek V3.1,philosophy,open,23,0.216808,0.006309,0.190626,-0.026182
DeepSeek V3.1,philosophy,open,24,0.381004,0.009881,0.255420,-0.125583
DeepSeek V3.1,philosophy,open,25,0.288834,0.010880,0.243454,-0.045380
DeepSeek V3.1,philosophy,open,26,0.358787,0.009739,0.281657,-0.077131
DeepSeek V3.1,philosophy,open,27,0.174766,0.006370,0.160286,-0.014481
DeepSeek V3.1,philosophy,open,28,0.316930,0.008573,0.253852,-0.063078
DeepSeek V3.1,philosophy,open,29,0.294671,0.010760,0.276011,-0.018660
DeepSeek V3.1,philosophy,open,30,0.476901,0.009575,0.203032,-0.273869
Llama 4 Maverick,philosophy,open,1,0.019087,0.001273,0.048019,0.028932
Llama 4 Maverick,philosophy,open,2,0.169765,0.006082,0.156510,-0.013256
Llama 4 Maverick,philosophy,open,3,0.165407,0.006348,0.112665,-0.052741
Llama 4 Maverick,philosophy,open,4,0.165661,0.006534,0.145517,-0.020144
Llama 4 Maverick,philosophy,open,5,0.489004,0.021471,0.213153,-0.275851
Llama 4 Maverick,philosophy,open,6,0.264118,0.008463,0.208225,-0.055893
Llama 4 Maverick,philosophy,open,7,0.254883,0.009656,0.206406,-0.048478
Llama 4 Maverick,philosophy,open,8,0.185348,0.011408,0.163423,-0.021925
Llama 4 Maverick,philosophy,open,9,0.556873,0.008681,0.198775,-0.358098
Llama 4 Maverick,philosophy,open,10,0.393051,0.005463,0.203940,-0.189111
Llama 4 Maverick,philosophy,open,11,0.490658,0.006248,0.221656,-0.269002
Llama 4 Maverick,philosophy,open,12,0.144124,0.003839,0.127917,-0.016207
Llama 4 Maverick,philosophy,open,13,0.270290,0.012314,0.195700,-0.074590
Llama 4 Maverick,philosophy,open,14,0.255128,0.007134,0.185870,-0.069258
Llama 4 Maverick,philosophy,open,15,0.124869,0.005596,0.125648,0.000778
Llama 4 Maverick,philosophy,open,16,0.141021,0.005807,0.117718,-0.023302
Llama 4 Maverick,philosophy,open,17,0.181502,0.006520,0.169342,-0.012159
Llama 4 Maverick,philosophy,open,18,0.486897,0.007883,0.215420,-0.271476
Llama 4 Maverick,philosophy,open,19,0.471451,0.016904,0.240513,-0.230938
Llama 4 Maverick,philosophy,open,20,0.302567,0.010329,0.186468,-0.116099
Llama 4 Maverick,philosophy,open,21,0.123734,0.004964,0.102340,-0.021394
Llama 4 Maverick,philosophy,open,22,0.225398,0.012793,0.165848,-0.059550
Llama 4 Maverick,philosophy,open,23,0.300383,0.011313,0.205447,-0.094937
Llama 4 Maverick,philosophy,open,24,0.161728,0.006706,0.132395,-0.029333
Llama 4 Maverick,philosophy,open,25,0.175276,0.004913,0.149812,-0.025465
Llama 4 Maverick,philosophy,open,26,0.487453,0.014907,0.239252,-0.248201
Llama 4 Maverick,philosophy,open,27,0.113167,0.004060,0.092368,-0.020799
Llama 4 Maverick,philosophy,open,28,0.357679,0.021139,0.215665,-0.142014
Llama 4 Maverick,philosophy,open,29,0.205347,0.008444,0.151275,-0.054072
Llama 4 Maverick,philosophy,open,30,0.375153,0.009621,0.196022,-0.179131
Llama 4 Scout,philosophy,open,1,0.004819,0.001256,0.060183,0.055364
Llama 4 Scout,philosophy,open,2,0.132989,0.004996,0.157654,0.024664
Llama 4 Scout,philosophy,open,3,0.200032,0.004332,0.123347,-0.076685
Llama 4 Scout,philosophy,open,4,0.174661,0.007438,0.148430,-0.026230
Llama 4 Scout,philosophy,open,5,0.768770,0.019369,0.243326,-0.525444
Llama 4 Scout,philosophy,open,6,0.249796,0.007399,0.234229,-0.015567
Llama 4 Scout,philosophy,open,7,0.273298,0.007806,0.219755,-0.053543
Llama 4 Scout,philosophy,open,8,0.179727,0.006665,0.182046,0.002320
Llama 4 Scout,philosophy,open,9,0.615959,0.009376,0.215644,-0.400315
Llama 4 Scout,philosophy,open,10,0.447836,0.006254,0.236169,-0.211667
Llama 4 Scout,philosophy,open,11,0.556061,0.004758,0.283968,-0.272094
Llama 4 Scout,philosophy,open,12,0.152279,0.004008,0.136214,-0.016065
Llama 4 Scout,philosophy,open,13,0.563932,0.015004,0.191675,-0.372257
Llama 4 Scout,philosophy,open,14,0.259513,0.010101,0.224314,-0.035199
Llama 4 Scout,philosophy,open,15,0.149780,0.006101,0.143472,-0.006308
Llama 4 Scout,philosophy,open,16,0.128312,0.006263,0.134942,0.006630
Llama 4 Scout,philosophy,open,17,0.197986,0.006345,0.180219,-0.017767
Llama 4 Scout,philosophy,open,18,0.524768,0.005989,0.216872,-0.307896
Llama 4 Scout,philosophy,open,19,0.306736,0.013520,0.205167,-0.101569
Llama 4 Scout,philosophy,open,20,0.358164,0.011676,0.182453,-0.175711
Llama 4 Scout,philosophy,open,21,0.152605,0.007167,0.130919,-0.021685
Llama 4 Scout,philosophy,open,22,0.195858,0.007432,0.207244,0.011386
Llama 4 Scout,philosophy,open,23,0.262421,0.007844,0.202924,-0.059497
Llama 4 Scout,philosophy,open,24,0.153224,0.008279,0.151633,-0.001591
Llama 4 Scout,philosophy,open,25,0.223867,0.008802,0.180696,-0.043170
Llama 4 Scout,philosophy,open,26,0.515587,0.017106,0.236877,-0.278710
Llama 4 Scout,philosophy,open,27,0.121278,0.005358,0.114045,-0.007233
Llama 4 Scout,philosophy,open,28,0.465003,0.007715,0.212201,-0.252802
Llama 4 Scout,philosophy,open,29,0.209020,0.007698,0.180536,-0.028483
Llama 4 Scout,philosophy,open,30,0.383936,0.007493,0.208243,-0.175692
Qwen3 235B,philosophy,open,1,0.005484,0.000793,0.125315,0.119831
Qwen3 235B,philosophy,open,2,0.167837,0.003998,0.228153,0.060316
Qwen3 235B,philosophy,open,3,0.165330,0.006387,0.202652,0.037322
Qwen3 235B,philosophy,open,4,0.338220,0.007037,0.180966,-0.157254
Qwen3 235B,philosophy,open,5,0.744095,0.017084,0.255895,-0.488201
Qwen3 235B,philosophy,open,6,0.333500,0.009009,0.229408,-0.104092
Qwen3 235B,philosophy,open,7,0.189555,0.006185,0.195030,0.005475
Qwen3 235B,philosophy,open,8,0.255345,0.007419,0.218031,-0.037314
Qwen3 235B,philosophy,open,9,0.383667,0.010657,0.311314,-0.072353
Qwen3 235B,philosophy,open,10,0.414251,0.008168,0.307583,-0.106668
Qwen3 235B,philosophy,open,11,0.525011,0.011655,0.283709,-0.241302
Qwen3 235B,philosophy,open,12,0.257450,0.005503,0.190784,-0.066666
Qwen3 235B,philosophy,open,13,0.409258,0.008451,0.208823,-0.200436
Qwen3 235B,philosophy,open,14,0.246321,0.006929,0.199942,-0.046379
Qwen3 235B,philosophy,open,15,0.197764,0.005942,0.204911,0.007146
Qwen3 235B,philosophy,open,16,0.179716,0.006669,0.197474,0.017759
Qwen3 235B,philosophy,open,17,0.405020,0.008858,0.285981,-0.119040
Qwen3 235B,philosophy,open,18,0.376231,0.008828,0.228050,-0.148181
Qwen3 235B,philosophy,open,19,0.577088,0.012754,0.256939,-0.320149
Qwen3 235B,philosophy,open,20,0.287186,0.007865,0.199997,-0.087189
Qwen3 235B,philosophy,open,21,0.279431,0.007279,0.252623,-0.026809
Qwen3 235B,philosophy,open,22,0.234897,0.008164,0.204137,-0.030760
Qwen3 235B,philosophy,open,23,0.358056,0.010078,0.206196,-0.151860
Qwen3 235B,philosophy,open,24,0.327473,0.007887,0.270735,-0.056738
Qwen3 235B,philosophy,open,25,0.331402,0.006868,0.253796,-0.077606
Qwen3 235B,philosophy,open,26,0.541662,0.010492,0.289903,-0.251759
Qwen3 235B,philosophy,open,27,0.162790,0.004984,0.144559,-0.018231
Qwen3 235B,philosophy,open,28,0.326376,0.009107,0.276104,-0.050272
Qwen3 235B,philosophy,open,29,0.267719,0.007137,0.249466,-0.018253
Qwen3 235B,philosophy,open,30,0.376679,0.005650,0.237278,-0.139401
Mistral Small 24B,philosophy,open,1,0.035299,0.005413,0.160729,0.125430
Mistral Small 24B,philosophy,open,2,0.179580,0.005424,0.242548,0.062967
Mistral Small 24B,philosophy,open,3,0.157380,0.006888,0.177666,0.020286
Mistral Small 24B,philosophy,open,4,0.209793,0.007485,0.206607,-0.003186
Mistral Small 24B,philosophy,open,5,0.656333,0.008141,0.197975,-0.458357
Mistral Small 24B,philosophy,open,6,0.453259,0.009224,0.241251,-0.212007
Mistral Small 24B,philosophy,open,7,0.467171,0.017685,0.343684,-0.123487
Mistral Small 24B,philosophy,open,8,0.200267,0.007056,0.204526,0.004260
Mistral Small 24B,philosophy,open,9,0.387493,0.011150,0.258711,-0.128782
Mistral Small 24B,philosophy,open,10,0.293671,0.010116,0.204293,-0.089379
Mistral Small 24B,philosophy,open,11,0.586233,0.008779,0.261306,-0.324927
Mistral Small 24B,philosophy,open,12,0.139522,0.005186,0.151438,0.011916
Mistral Small 24B,philosophy,open,13,0.345053,0.011848,0.181982,-0.163071
Mistral Small 24B,philosophy,open,14,0.264993,0.006240,0.190611,-0.074382
Mistral Small 24B,philosophy,open,15,0.144605,0.005087,0.150814,0.006209
Mistral Small 24B,philosophy,open,16,0.130751,0.005037,0.126918,-0.003834
Mistral Small 24B,philosophy,open,17,0.232612,0.007125,0.193004,-0.039608
Mistral Small 24B,philosophy,open,18,0.325354,0.008833,0.199976,-0.125378
Mistral Small 24B,philosophy,open,19,0.415495,0.010638,0.250958,-0.164537
Mistral Small 24B,philosophy,open,20,0.323774,0.008972,0.192591,-0.131183
Mistral Small 24B,philosophy,open,21,0.152944,0.006517,0.127759,-0.025185
Mistral Small 24B,philosophy,open,22,0.195016,0.006766,0.173710,-0.021306
Mistral Small 24B,philosophy,open,23,0.278845,0.005771,0.175441,-0.103404
Mistral Small 24B,philosophy,open,24,0.209981,0.009342,0.156375,-0.053606
Mistral Small 24B,philosophy,open,25,0.190415,0.006040,0.174156,-0.016259
Mistral Small 24B,philosophy,open,26,0.366994,0.009823,0.235147,-0.131847
Mistral Small 24B,philosophy,open,27,0.123341,0.004245,0.115556,-0.007786
Mistral Small 24B,philosophy,open,28,0.364153,0.010278,0.265370,-0.098783
Mistral Small 24B,philosophy,open,29,0.231615,0.010487,0.133220,-0.098395
Mistral Small 24B,philosophy,open,30,0.363173,0.008504,0.230112,-0.133062
Ministral 14B,philosophy,open,1,0.035763,0.002116,0.176289,0.140526
Ministral 14B,philosophy,open,2,0.193045,0.005997,0.262276,0.069231
Ministral 14B,philosophy,open,3,0.187563,0.007208,0.223953,0.036391
Ministral 14B,philosophy,open,4,0.262619,0.015826,0.205521,-0.057098
Ministral 14B,philosophy,open,5,0.762122,0.006817,0.265631,-0.496491
Ministral 14B,philosophy,open,6,0.496070,0.010533,0.255641,-0.240428
Ministral 14B,philosophy,open,7,0.351081,0.012733,0.245431,-0.105650
Ministral 14B,philosophy,open,8,0.379924,0.013471,0.290819,-0.089105
Ministral 14B,philosophy,open,9,0.509789,0.015024,0.303105,-0.206684
Ministral 14B,philosophy,open,10,0.297084,0.010128,0.289752,-0.007331
Ministral 14B,philosophy,open,11,0.643944,0.010899,0.330818,-0.313126
Ministral 14B,philosophy,open,12,0.287248,0.009845,0.234861,-0.052388
Ministral 14B,philosophy,open,13,0.450553,0.009438,0.226252,-0.224301
Ministral 14B,philosophy,open,14,0.288145,0.008692,0.253909,-0.034236
Ministral 14B,philosophy,open,15,0.215408,0.006883,0.199303,-0.016104
Ministral 14B,philosophy,open,16,0.196328,0.006692,0.171818,-0.024510
Ministral 14B,philosophy,open,17,0.423844,0.011124,0.285798,-0.138045
Ministral 14B,philosophy,open,18,0.565431,0.011072,0.318144,-0.247287
Ministral 14B,philosophy,open,19,0.453814,0.012863,0.296222,-0.157591
Ministral 14B,philosophy,open,20,0.365024,0.010349,0.238154,-0.126870
Ministral 14B,philosophy,open,21,0.378737,0.009589,0.253107,-0.125630
Ministral 14B,philosophy,open,22,0.335240,0.010647,0.264240,-0.071000
Ministral 14B,philosophy,open,23,0.366062,0.009108,0.223012,-0.143050
Ministral 14B,philosophy,open,24,0.412320,0.011015,0.272154,-0.140166
Ministral 14B,philosophy,open,25,0.463857,0.010159,0.280175,-0.183682
Ministral 14B,philosophy,open,26,0.498090,0.010046,0.303654,-0.194437
Ministral 14B,philosophy,open,27,0.200395,0.008598,0.156302,-0.044093
Ministral 14B,philosophy,open,28,0.461230,0.014313,0.320522,-0.140707
Ministral 14B,philosophy,open,29,0.289209,0.007986,0.264965,-0.024243
Ministral 14B,philosophy,open,30,0.412306,0.008041,0.257970,-0.154337
Kimi K2,philosophy,open,1,0.009971,0.002961,0.245608,0.235636
Kimi K2,philosophy,open,2,0.402277,0.011115,0.388948,-0.013329
Kimi K2,philosophy,open,3,0.278354,0.012166,0.371051,0.092697
Kimi K2,philosophy,open,4,0.392722,0.013866,0.414933,0.022211
Kimi K2,philosophy,open,5,0.346191,0.010841,0.408159,0.061968
Kimi K2,philosophy,open,6,0.379619,0.008217,0.349212,-0.030408
Kimi K2,philosophy,open,7,0.386618,0.010925,0.422210,0.035592
Kimi K2,philosophy,open,8,0.488158,0.016549,0.442537,-0.045621
Kimi K2,philosophy,open,9,0.614537,0.013547,0.539232,-0.075304
Kimi K2,philosophy,open,10,0.408598,0.008927,0.409672,0.001074
Kimi K2,philosophy,open,11,0.657095,0.013112,0.468214,-0.188880
Kimi K2,philosophy,open,12,0.420426,0.013122,0.333688,-0.086739
Kimi K2,philosophy,open,13,0.400702,0.012212,0.412742,0.012040
Kimi K2,philosophy,open,14,0.500983,0.017595,0.455122,-0.045861
Kimi K2,philosophy,open,15,0.305071,0.006388,0.273397,-0.031673
Kimi K2,philosophy,open,16,0.450101,0.013283,0.380911,-0.069190
Kimi K2,philosophy,open,17,0.435983,0.014639,0.403902,-0.032081
Kimi K2,philosophy,open,18,0.470627,0.010881,0.433855,-0.036773
Kimi K2,philosophy,open,19,0.579667,0.011980,0.539647,-0.040021
Kimi K2,philosophy,open,20,0.312948,0.009562,0.312955,0.000006
Kimi K2,philosophy,open,21,0.414815,0.009641,0.324479,-0.090336
Kimi K2,philosophy,open,22,0.345497,0.011703,0.331125,-0.014373
Kimi K2,philosophy,open,23,0.477756,0.010551,0.388137,-0.089619
Kimi K2,philosophy,open,24,0.504971,0.010675,0.490567,-0.014403
Kimi K2,philosophy,open,25,0.462361,0.015145,0.376698,-0.085663
Kimi K2,philosophy,open,26,0.566898,0.014445,0.501447,-0.065451
Kimi K2,philosophy,open,27,0.334190,0.009606,0.249249,-0.084941
Kimi K2,philosophy,open,28,0.598199,0.013771,0.488718,-0.109481
Kimi K2,philosophy,open,29,0.486008,0.012245,0.502445,0.016437
Kimi K2,philosophy,open,30,0.414196,0.008435,0.374141,-0.040055
Gemini Flash,medical,closed,1,0.128450,0.015548,0.154585,0.026134
Gemini Flash,medical,closed,2,0.375267,0.023534,0.358853,-0.016414
Gemini Flash,medical,closed,3,0.516688,0.026992,0.605094,0.088407
Gemini Flash,medical,closed,4,0.440459,0.019081,0.400210,-0.040249
Gemini Flash,medical,closed,5,0.328599,0.017966,0.338070,0.009471
Gemini Flash,medical,closed,6,0.433389,0.010523,0.464291,0.030902
Gemini Flash,medical,closed,7,0.297986,0.013919,0.322760,0.024775
Gemini Flash,medical,closed,8,0.703473,0.011871,0.485466,-0.218007
Gemini Flash,medical,closed,9,0.198167,0.007147,0.163061,-0.035106
Gemini Flash,medical,closed,10,0.691757,0.009138,0.389153,-0.302603
Gemini Flash,medical,closed,11,0.298733,0.012196,0.231934,-0.066799
Gemini Flash,medical,closed,12,0.622786,0.010086,0.530777,-0.092009
Gemini Flash,medical,closed,13,0.364901,0.015940,0.246932,-0.117969
Gemini Flash,medical,closed,14,0.222059,0.015179,0.302671,0.080613
Gemini Flash,medical,closed,15,0.314989,0.012940,0.271639,-0.043350
Gemini Flash,medical,closed,16,0.475876,0.014890,0.432973,-0.042903
Gemini Flash,medical,closed,17,0.279353,0.010711,0.289951,0.010598
Gemini Flash,medical,closed,18,0.370299,0.010441,0.374033,0.003734
Gemini Flash,medical,closed,19,0.424063,0.015557,0.394412,-0.029651
Gemini Flash,medical,closed,20,0.347872,0.013782,0.360716,0.012845
Gemini Flash,medical,closed,21,0.588668,0.015044,0.401647,-0.187021
Gemini Flash,medical,closed,22,0.596769,0.016498,0.380866,-0.215903
Gemini Flash,medical,closed,23,0.327746,0.009416,0.231407,-0.096339
Gemini Flash,medical,closed,24,0.477249,0.032665,0.432173,-0.045076
Gemini Flash,medical,closed,25,0.444200,0.016825,0.388949,-0.055251
Gemini Flash,medical,closed,26,0.564469,0.013354,0.458918,-0.105551
