domain,model,position,drci,drci_sem,drci_scrambled,disruption_sensitivity
philosophy,GPT-4o,10,0.386162,0.0092,0.218115,-0.168047
philosophy,GPT-4o,11,0.63046,0.0107,0.283472,-0.346988
philosophy,GPT-4o,12,0.2024,0.005488,0.168093,-0.034307
philosophy,GPT-4o,13,0.335119,0.011351,0.201675,-0.133444
philosophy,GPT-4o,14,0.270832,0.005579,0.167132,-0.103701
philosophy,GPT-4o,15,0.133366,0.004823,0.140366,0.007
philosophy,GPT-4o,16,0.108507,0.003994,0.115182,0.006675
philosophy,GPT-4o,17,0.207832,0.006156,0.166889,-0.040943
philosophy,GPT-4o,18,0.479116,0.013228,0.182268,-0.296848
philosophy,GPT-4o,19,0.460471,0.012127,0.253762,-0.20671
philosophy,GPT-4o,20,0.241388,0.010967,0.187382,-0.054006
philosophy,GPT-4o,21,0.130365,0.006529,0.1182,-0.012165
philosophy,GPT-4o,22,0.189478,0.006552,0.171878,-0.0176
philosophy,GPT-4o,23,0.308682,0.010911,0.215738,-0.092944
philosophy,GPT-4o,24,0.147288,0.005883,0.124914,-0.022374
philosophy,GPT-4o,25,0.162782,0.007345,0.135347,-0.027435
philosophy,GPT-4o,26,0.440864,0.012789,0.238701,-0.202162
philosophy,GPT-4o,27,0.088313,0.003025,0.085105,-0.003207
philosophy,GPT-4o,28,0.347462,0.011859,0.278838,-0.068624
philosophy,GPT-4o,29,0.195472,0.008481,0.167294,-0.028178
philosophy,GPT-4o,30,0.36003,0.008714,0.185596,-0.174434
philosophy,Claude Haiku,1,0.020553,0.00244,0.425304,0.404751
philosophy,Claude Haiku,2,0.264663,0.01023,0.377889,0.113225
philosophy,Claude Haiku,3,0.140779,0.004349,0.289284,0.148505
philosophy,Claude Haiku,4,0.176696,0.006758,0.204411,0.027715
philosophy,Claude Haiku,5,0.634382,0.009182,0.255896,-0.378486
philosophy,Claude Haiku,6,0.385759,0.010117,0.300086,-0.085673
philosophy,Claude Haiku,7,0.247498,0.006268,0.259473,0.011975
philosophy,Claude Haiku,8,0.340988,0.010053,0.301293,-0.039695
philosophy,Claude Haiku,9,0.479644,0.013249,0.343766,-0.135878
philosophy,Claude Haiku,10,0.491835,0.009555,0.340946,-0.150888
philosophy,Claude Haiku,11,0.568421,0.009928,0.344913,-0.223508
philosophy,Claude Haiku,12,0.275973,0.006725,0.244159,-0.031814
philosophy,Claude Haiku,13,0.405149,0.010627,0.261842,-0.143306
philosophy,Claude Haiku,14,0.279981,0.007795,0.273247,-0.006734
philosophy,Claude Haiku,15,0.203994,0.005791,0.236359,0.032365
philosophy,Claude Haiku,16,0.239094,0.007957,0.259618,0.020524
philosophy,Claude Haiku,17,0.367568,0.008684,0.326023,-0.041545
philosophy,Claude Haiku,18,0.516275,0.010501,0.277918,-0.238357
philosophy,Claude Haiku,19,0.423704,0.011522,0.31728,-0.106424
philosophy,Claude Haiku,20,0.381325,0.010056,0.271646,-0.109679
philosophy,Claude Haiku,21,0.288671,0.009813,0.240511,-0.04816
philosophy,Claude Haiku,22,0.264685,0.005995,0.242559,-0.022126
philosophy,Claude Haiku,23,0.234101,0.006396,0.237395,0.003294
philosophy,Claude Haiku,24,0.448322,0.01033,0.31397,-0.134352
philosophy,Claude Haiku,25,0.350211,0.009203,0.2959,-0.05431
philosophy,Claude Haiku,26,0.406381,0.009575,0.314096,-0.092285
philosophy,Claude Haiku,27,0.20062,0.006175,0.203901,0.003281
philosophy,Claude Haiku,28,0.322556,0.008274,0.299819,-0.022737
philosophy,Claude Haiku,29,0.275374,0.008054,0.256154,-0.01922
philosophy,Claude Haiku,30,0.281783,0.006849,0.255879,-0.025905
philosophy,Gemini Flash,1,0.039964,0.002988,0.08418,0.044216
philosophy,Gemini Flash,2,0.332348,0.016461,0.269004,-0.063344
philosophy,Gemini Flash,3,0.125227,0.01353,0.220922,0.095695
philosophy,Gemini Flash,4,0.336019,0.01739,0.21719,-0.118828
philosophy,Gemini Flash,5,0.454452,0.02899,0.489289,0.034837
philosophy,Gemini Flash,6,0.484777,0.026685,0.415001,-0.069776
philosophy,Gemini Flash,7,0.497397,0.019148,0.44855,-0.048847
philosophy,Gemini Flash,8,0.427161,0.017915,0.339574,-0.087587
philosophy,Gemini Flash,9,0.4478,0.014616,0.458034,0.010235
philosophy,Gemini Flash,10,0.265346,0.015364,0.300782,0.035436
philosophy,Gemini Flash,11,0.623045,0.014658,0.416961,-0.206085
philosophy,Gemini Flash,12,0.144995,0.005222,0.128176,-0.01682
philosophy,Gemini Flash,13,0.262007,0.010366,0.223292,-0.038716
philosophy,Gemini Flash,14,0.33466,0.016853,0.329201,-0.00546
philosophy,Gemini Flash,15,0.12851,0.006466,0.162413,0.033903
philosophy,Gemini Flash,16,0.317637,0.017388,0.273494,-0.044143
philosophy,Gemini Flash,17,0.328066,0.013669,0.288659,-0.039407
philosophy,Gemini Flash,18,0.560296,0.018083,0.393855,-0.166441
philosophy,Gemini Flash,19,0.421343,0.016245,0.435043,0.0137
philosophy,Gemini Flash,20,0.330538,0.011429,0.258624,-0.071913
philosophy,Gemini Flash,21,0.354547,0.021229,0.29733,-0.057217
philosophy,Gemini Flash,22,0.199233,0.013999,0.223562,0.024329
philosophy,Gemini Flash,23,0.337309,0.017224,0.239054,-0.098255
philosophy,Gemini Flash,24,0.378655,0.02392,0.344022,-0.034633
philosophy,Gemini Flash,25,0.239746,0.012672,0.208947,-0.030799
philosophy,Gemini Flash,26,0.463008,0.015302,0.417852,-0.045156
philosophy,Gemini Flash,27,0.109718,0.006065,0.114345,0.004627
philosophy,Gemini Flash,28,0.407953,0.018336,0.37066,-0.037292
philosophy,Gemini Flash,29,0.406319,0.017876,0.358001,-0.048318
philosophy,Gemini Flash,30,0.381274,0.017191,0.237007,-0.144266
philosophy,DeepSeek V3.1,1,0.045007,0.008503,0.114235,0.069228
philosophy,DeepSeek V3.1,2,0.232825,0.009663,0.28891,0.056086
philosophy,DeepSeek V3.1,3,0.237398,0.010782,0.239617,0.002218
philosophy,DeepSeek V3.1,4,0.280744,0.00954,0.24955,-0.031194
philosophy,DeepSeek V3.1,5,0.27074,0.011566,0.235383,-0.035357
philosophy,DeepSeek V3.1,6,0.45063,0.008425,0.273003,-0.177627
philosophy,DeepSeek V3.1,7,0.286672,0.008114,0.222885,-0.063787
philosophy,DeepSeek V3.1,8,0.246708,0.008144,0.248229,0.001522
philosophy,DeepSeek V3.1,9,0.357323,0.00948,0.280949,-0.076374
philosophy,DeepSeek V3.1,10,0.246178,0.007983,0.267711,0.021533
philosophy,DeepSeek V3.1,11,0.418665,0.01071,0.302924,-0.115741
philosophy,DeepSeek V3.1,12,0.278142,0.008125,0.197209,-0.080933
philosophy,DeepSeek V3.1,13,0.373714,0.011883,0.244704,-0.12901
philosophy,DeepSeek V3.1,14,0.336088,0.012715,0.268716,-0.067372
philosophy,DeepSeek V3.1,15,0.210047,0.007227,0.193328,-0.016719
philosophy,DeepSeek V3.1,16,0.213061,0.008685,0.188868,-0.024193
philosophy,DeepSeek V3.1,17,0.401156,0.009171,0.320032,-0.081124
philosophy,DeepSeek V3.1,18,0.419904,0.013006,0.205587,-0.214317
philosophy,DeepSeek V3.1,19,0.416961,0.011733,0.278507,-0.138453
philosophy,DeepSeek V3.1,20,0.346736,0.010634,0.221543,-0.125193
philosophy,DeepSeek V3.1,21,0.311293,0.009865,0.257135,-0.054158
philosophy,DeepSeek V3.1,22,0.21926,0.007958,0.211657,-0.007603
philosophy,DeepSeek V3.1,23,0.216808,0.006309,0.190626,-0.026182
philosophy,DeepSeek V3.1,24,0.381004,0.009881,0.25542,-0.125583
philosophy,DeepSeek V3.1,25,0.288834,0.01088,0.243454,-0.04538
philosophy,DeepSeek V3.1,26,0.358787,0.009739,0.281657,-0.077131
philosophy,DeepSeek V3.1,27,0.174766,0.00637,0.160286,-0.014481
philosophy,DeepSeek V3.1,28,0.31693,0.008573,0.253852,-0.063078
philosophy,DeepSeek V3.1,29,0.294671,0.01076,0.276011,-0.01866
philosophy,DeepSeek V3.1,30,0.476901,0.009575,0.203032,-0.273869
philosophy,Llama 4 Maverick,1,0.019087,0.001273,0.048019,0.028932
philosophy,Llama 4 Maverick,2,0.169765,0.006082,0.15651,-0.013256
philosophy,Llama 4 Maverick,3,0.165407,0.006348,0.112665,-0.052741
philosophy,Llama 4 Maverick,4,0.165661,0.006534,0.145517,-0.020144
philosophy,Llama 4 Maverick,5,0.489004,0.021471,0.213153,-0.275851
philosophy,Llama 4 Maverick,6,0.264118,0.008463,0.208225,-0.055893
philosophy,Llama 4 Maverick,7,0.254883,0.009656,0.206406,-0.048478
philosophy,Llama 4 Maverick,8,0.185348,0.011408,0.163423,-0.021925
philosophy,Llama 4 Maverick,9,0.556873,0.008681,0.198775,-0.358098
philosophy,Llama 4 Maverick,10,0.393051,0.005463,0.20394,-0.189111
philosophy,Llama 4 Maverick,11,0.490658,0.006248,0.221656,-0.269002
philosophy,Llama 4 Maverick,12,0.144124,0.003839,0.127917,-0.016207
philosophy,Llama 4 Maverick,13,0.27029,0.012314,0.1957,-0.07459
philosophy,Llama 4 Maverick,14,0.255128,0.007134,0.18587,-0.069258
philosophy,Llama 4 Maverick,15,0.124869,0.005596,0.125648,0.000778
philosophy,Llama 4 Maverick,16,0.141021,0.005807,0.117718,-0.023302
philosophy,Llama 4 Maverick,17,0.181502,0.00652,0.169342,-0.012159
philosophy,Llama 4 Maverick,18,0.486897,0.007883,0.21542,-0.271476
philosophy,Llama 4 Maverick,19,0.471451,0.016904,0.240513,-0.230938
philosophy,Llama 4 Maverick,20,0.302567,0.010329,0.186468,-0.116099
philosophy,Llama 4 Maverick,21,0.123734,0.004964,0.10234,-0.021394
philosophy,Llama 4 Maverick,22,0.225398,0.012793,0.165848,-0.05955
philosophy,Llama 4 Maverick,23,0.300383,0.011313,0.205447,-0.094937
philosophy,Llama 4 Maverick,24,0.161728,0.006706,0.132395,-0.029333
philosophy,Llama 4 Maverick,25,0.175276,0.004913,0.149812,-0.025465
philosophy,Llama 4 Maverick,26,0.487453,0.014907,0.239252,-0.248201
philosophy,Llama 4 Maverick,27,0.113167,0.00406,0.092368,-0.020799
philosophy,Llama 4 Maverick,28,0.357679,0.021139,0.215665,-0.142014
philosophy,Llama 4 Maverick,29,0.205347,0.008444,0.151275,-0.054072
philosophy,Llama 4 Maverick,30,0.375153,0.009621,0.196022,-0.179131
philosophy,Llama 4 Scout,1,0.004819,0.001256,0.060183,0.055364
philosophy,Llama 4 Scout,2,0.132989,0.004996,0.157654,0.024664
philosophy,Llama 4 Scout,3,0.200032,0.004332,0.123347,-0.076685
philosophy,Llama 4 Scout,4,0.174661,0.007438,0.14843,-0.02623
philosophy,Llama 4 Scout,5,0.76877,0.019369,0.243326,-0.525444
philosophy,Llama 4 Scout,6,0.249796,0.007399,0.234229,-0.015567
philosophy,Llama 4 Scout,7,0.273298,0.007806,0.219755,-0.053543
philosophy,Llama 4 Scout,8,0.179727,0.006665,0.182046,0.00232
philosophy,Llama 4 Scout,9,0.615959,0.009376,0.215644,-0.400315
philosophy,Llama 4 Scout,10,0.447836,0.006254,0.236169,-0.211667
philosophy,Llama 4 Scout,11,0.556061,0.004758,0.283968,-0.272094
philosophy,Llama 4 Scout,12,0.152279,0.004008,0.136214,-0.016065
philosophy,Llama 4 Scout,13,0.563932,0.015004,0.191675,-0.372257
philosophy,Llama 4 Scout,14,0.259513,0.010101,0.224314,-0.035199
philosophy,Llama 4 Scout,15,0.14978,0.006101,0.143472,-0.006308
philosophy,Llama 4 Scout,16,0.128312,0.006263,0.134942,0.00663
philosophy,Llama 4 Scout,17,0.197986,0.006345,0.180219,-0.017767
philosophy,Llama 4 Scout,18,0.524768,0.005989,0.216872,-0.307896
philosophy,Llama 4 Scout,19,0.306736,0.01352,0.205167,-0.101569
philosophy,Llama 4 Scout,20,0.358164,0.011676,0.182453,-0.175711
philosophy,Llama 4 Scout,21,0.152605,0.007167,0.130919,-0.021685
philosophy,Llama 4 Scout,22,0.195858,0.007432,0.207244,0.011386
philosophy,Llama 4 Scout,23,0.262421,0.007844,0.202924,-0.059497
philosophy,Llama 4 Scout,24,0.153224,0.008279,0.151633,-0.001591
philosophy,Llama 4 Scout,25,0.223867,0.008802,0.180696,-0.04317
philosophy,Llama 4 Scout,26,0.515587,0.017106,0.236877,-0.27871
philosophy,Llama 4 Scout,27,0.121278,0.005358,0.114045,-0.007233
philosophy,Llama 4 Scout,28,0.465003,0.007715,0.212201,-0.252802
philosophy,Llama 4 Scout,29,0.20902,0.007698,0.180536,-0.028483
philosophy,Llama 4 Scout,30,0.383936,0.007493,0.208243,-0.175692
philosophy,Qwen3 235B,1,0.005484,0.000793,0.125315,0.119831
philosophy,Qwen3 235B,2,0.167837,0.003998,0.228153,0.060316
philosophy,Qwen3 235B,3,0.16533,0.006387,0.202652,0.037322
philosophy,Qwen3 235B,4,0.33822,0.007037,0.180966,-0.157254
philosophy,Qwen3 235B,5,0.744095,0.017084,0.255895,-0.488201
philosophy,Qwen3 235B,6,0.3335,0.009009,0.229408,-0.104092
philosophy,Qwen3 235B,7,0.189555,0.006185,0.19503,0.005475
philosophy,Qwen3 235B,8,0.255345,0.007419,0.218031,-0.037314
philosophy,Qwen3 235B,9,0.383667,0.010657,0.311314,-0.072353
philosophy,Qwen3 235B,10,0.414251,0.008168,0.307583,-0.106668
philosophy,Qwen3 235B,11,0.525011,0.011655,0.283709,-0.241302
philosophy,Qwen3 235B,12,0.25745,0.005503,0.190784,-0.066666
philosophy,Qwen3 235B,13,0.409258,0.008451,0.208823,-0.200436
philosophy,Qwen3 235B,14,0.246321,0.006929,0.199942,-0.046379
philosophy,Qwen3 235B,15,0.197764,0.005942,0.204911,0.007146
philosophy,Qwen3 235B,16,0.179716,0.006669,0.197474,0.017759
philosophy,Qwen3 235B,17,0.40502,0.008858,0.285981,-0.11904
philosophy,Qwen3 235B,18,0.376231,0.008828,0.22805,-0.148181
philosophy,Qwen3 235B,19,0.577088,0.012754,0.256939,-0.320149
philosophy,Qwen3 235B,20,0.287186,0.007865,0.199997,-0.087189
philosophy,Qwen3 235B,21,0.279431,0.007279,0.252623,-0.026809
philosophy,Qwen3 235B,22,0.234897,0.008164,0.204137,-0.03076
philosophy,Qwen3 235B,23,0.358056,0.010078,0.206196,-0.15186
philosophy,Qwen3 235B,24,0.327473,0.007887,0.270735,-0.056738
philosophy,Qwen3 235B,25,0.331402,0.006868,0.253796,-0.077606
philosophy,Qwen3 235B,26,0.541662,0.010492,0.289903,-0.251759
philosophy,Qwen3 235B,27,0.16279,0.004984,0.144559,-0.018231
philosophy,Qwen3 235B,28,0.326376,0.009107,0.276104,-0.050272
philosophy,Qwen3 235B,29,0.267719,0.007137,0.249466,-0.018253
philosophy,Qwen3 235B,30,0.376679,0.00565,0.237278,-0.139401
philosophy,Mistral Small 24B,1,0.035299,0.005413,0.160729,0.12543
philosophy,Mistral Small 24B,2,0.17958,0.005424,0.242548,0.062967
philosophy,Mistral Small 24B,3,0.15738,0.006888,0.177666,0.020286
philosophy,Mistral Small 24B,4,0.209793,0.007485,0.206607,-0.003186
philosophy,Mistral Small 24B,5,0.656333,0.008141,0.197975,-0.458357
philosophy,Mistral Small 24B,6,0.453259,0.009224,0.241251,-0.212007
philosophy,Mistral Small 24B,7,0.467171,0.017685,0.343684,-0.123487
philosophy,Mistral Small 24B,8,0.200267,0.007056,0.204526,0.00426
philosophy,Mistral Small 24B,9,0.387493,0.01115,0.258711,-0.128782
philosophy,Mistral Small 24B,10,0.293671,0.010116,0.204293,-0.089379
philosophy,Mistral Small 24B,11,0.586233,0.008779,0.261306,-0.324927
philosophy,Mistral Small 24B,12,0.139522,0.005186,0.151438,0.011916
philosophy,Mistral Small 24B,13,0.345053,0.011848,0.181982,-0.163071
philosophy,Mistral Small 24B,14,0.264993,0.00624,0.190611,-0.074382
philosophy,Mistral Small 24B,15,0.144605,0.005087,0.150814,0.006209
philosophy,Mistral Small 24B,16,0.130751,0.005037,0.126918,-0.003834
philosophy,Mistral Small 24B,17,0.232612,0.007125,0.193004,-0.039608
philosophy,Mistral Small 24B,18,0.325354,0.008833,0.199976,-0.125378
philosophy,Mistral Small 24B,19,0.415495,0.010638,0.250958,-0.164537
philosophy,Mistral Small 24B,20,0.323774,0.008972,0.192591,-0.131183
philosophy,Mistral Small 24B,21,0.152944,0.006517,0.127759,-0.025185
philosophy,Mistral Small 24B,22,0.195016,0.006766,0.17371,-0.021306
philosophy,Mistral Small 24B,23,0.278845,0.005771,0.175441,-0.103404
philosophy,Mistral Small 24B,24,0.209981,0.009342,0.156375,-0.053606
philosophy,Mistral Small 24B,25,0.190415,0.00604,0.174156,-0.016259
philosophy,Mistral Small 24B,26,0.366994,0.009823,0.235147,-0.131847
philosophy,Mistral Small 24B,27,0.123341,0.004245,0.115556,-0.007786
philosophy,Mistral Small 24B,28,0.364153,0.010278,0.26537,-0.098783
philosophy,Mistral Small 24B,29,0.231615,0.010487,0.13322,-0.098395
philosophy,Mistral Small 24B,30,0.363173,0.008504,0.230112,-0.133062
philosophy,Ministral 14B,1,0.035763,0.002116,0.176289,0.140526
philosophy,Ministral 14B,2,0.193045,0.005997,0.262276,0.069231
philosophy,Ministral 14B,3,0.187563,0.007208,0.223953,0.036391
philosophy,Ministral 14B,4,0.262619,0.015826,0.205521,-0.057098
philosophy,Ministral 14B,5,0.762122,0.006817,0.265631,-0.496491
philosophy,Ministral 14B,6,0.49607,0.010533,0.255641,-0.240428
philosophy,Ministral 14B,7,0.351081,0.012733,0.245431,-0.10565
philosophy,Ministral 14B,8,0.379924,0.013471,0.290819,-0.089105
philosophy,Ministral 14B,9,0.509789,0.015024,0.303105,-0.206684
philosophy,Ministral 14B,10,0.297084,0.010128,0.289752,-0.007331
philosophy,Ministral 14B,11,0.643944,0.010899,0.330818,-0.313126
philosophy,Ministral 14B,12,0.287248,0.009845,0.234861,-0.052388
philosophy,Ministral 14B,13,0.450553,0.009438,0.226252,-0.224301
philosophy,Ministral 14B,14,0.288145,0.008692,0.253909,-0.034236
philosophy,Ministral 14B,15,0.215408,0.006883,0.199303,-0.016104
philosophy,Ministral 14B,16,0.196328,0.006692,0.171818,-0.02451
philosophy,Ministral 14B,17,0.423844,0.011124,0.285798,-0.138045
philosophy,Ministral 14B,18,0.565431,0.011072,0.318144,-0.247287
philosophy,Ministral 14B,19,0.453814,0.012863,0.296222,-0.157591
philosophy,Ministral 14B,20,0.365024,0.010349,0.238154,-0.12687
philosophy,Ministral 14B,21,0.378737,0.009589,0.253107,-0.12563
philosophy,Ministral 14B,22,0.33524,0.010647,0.26424,-0.071
philosophy,Ministral 14B,23,0.366062,0.009108,0.223012,-0.14305
philosophy,Ministral 14B,24,0.41232,0.011015,0.272154,-0.140166
philosophy,Ministral 14B,25,0.463857,0.010159,0.280175,-0.183682
philosophy,Ministral 14B,26,0.49809,0.010046,0.303654,-0.194437
philosophy,Ministral 14B,27,0.200395,0.008598,0.156302,-0.044093
philosophy,Ministral 14B,28,0.46123,0.014313,0.320522,-0.140707
philosophy,Ministral 14B,29,0.289209,0.007986,0.264965,-0.024243
philosophy,Ministral 14B,30,0.412306,0.008041,0.25797,-0.154337
philosophy,Kimi K2,1,0.009971,0.002961,0.245608,0.235636
philosophy,Kimi K2,2,0.402277,0.011115,0.388948,-0.013329
philosophy,Kimi K2,3,0.278354,0.012166,0.371051,0.092697
philosophy,Kimi K2,4,0.392722,0.013866,0.414933,0.022211
philosophy,Kimi K2,5,0.346191,0.010841,0.408159,0.061968
philosophy,Kimi K2,6,0.379619,0.008217,0.349212,-0.030408
philosophy,Kimi K2,7,0.386618,0.010925,0.42221,0.035592
philosophy,Kimi K2,8,0.488158,0.016549,0.442537,-0.045621
philosophy,Kimi K2,9,0.614537,0.013547,0.539232,-0.075304
philosophy,Kimi K2,10,0.408598,0.008927,0.409672,0.001074
philosophy,Kimi K2,11,0.657095,0.013112,0.468214,-0.18888
philosophy,Kimi K2,12,0.420426,0.013122,0.333688,-0.086739
philosophy,Kimi K2,13,0.400702,0.012212,0.412742,0.01204
philosophy,Kimi K2,14,0.500983,0.017595,0.455122,-0.045861
philosophy,Kimi K2,15,0.305071,0.006388,0.273397,-0.031673
philosophy,Kimi K2,16,0.450101,0.013283,0.380911,-0.06919
philosophy,Kimi K2,17,0.435983,0.014639,0.403902,-0.032081
philosophy,Kimi K2,18,0.470627,0.010881,0.433855,-0.036773
philosophy,Kimi K2,19,0.579667,0.01198,0.539647,-0.040021
philosophy,Kimi K2,20,0.312948,0.009562,0.312955,6e-06
philosophy,Kimi K2,21,0.414815,0.009641,0.324479,-0.090336
philosophy,Kimi K2,22,0.345497,0.011703,0.331125,-0.014373
philosophy,Kimi K2,23,0.477756,0.010551,0.388137,-0.089619
philosophy,Kimi K2,24,0.504971,0.010675,0.490567,-0.014403
philosophy,Kimi K2,25,0.462361,0.015145,0.376698,-0.085663
philosophy,Kimi K2,26,0.566898,0.014445,0.501447,-0.065451
philosophy,Kimi K2,27,0.33419,0.009606,0.249249,-0.084941
philosophy,Kimi K2,28,0.598199,0.013771,0.488718,-0.109481
philosophy,Kimi K2,29,0.486008,0.012245,0.502445,0.016437
philosophy,Kimi K2,30,0.414196,0.008435,0.374141,-0.040055
medical,Gemini Flash,1,0.12845,0.015548,0.154585,0.026134
medical,Gemini Flash,2,0.375267,0.023534,0.358853,-0.016414
medical,Gemini Flash,3,0.516688,0.026992,0.605094,0.088407
medical,Gemini Flash,4,0.440459,0.019081,0.40021,-0.040249
medical,Gemini Flash,5,0.328599,0.017966,0.33807,0.009471
medical,Gemini Flash,6,0.433389,0.010523,0.464291,0.030902
medical,Gemini Flash,7,0.297986,0.013919,0.32276,0.024775
medical,Gemini Flash,8,0.703473,0.011871,0.485466,-0.218007
medical,Gemini Flash,9,0.198167,0.007147,0.163061,-0.035106
medical,Gemini Flash,10,0.691757,0.009138,0.389153,-0.302603
medical,Gemini Flash,11,0.298733,0.012196,0.231934,-0.066799
medical,Gemini Flash,12,0.622786,0.010086,0.530777,-0.092009
medical,Gemini Flash,13,0.364901,0.01594,0.246932,-0.117969
medical,Gemini Flash,14,0.222059,0.015179,0.302671,0.080613
medical,Gemini Flash,15,0.314989,0.01294,0.271639,-0.04335
medical,Gemini Flash,16,0.475876,0.01489,0.432973,-0.042903
medical,Gemini Flash,17,0.279353,0.010711,0.289951,0.010598
medical,Gemini Flash,18,0.370299,0.010441,0.374033,0.003734
medical,Gemini Flash,19,0.424063,0.015557,0.394412,-0.029651
medical,Gemini Flash,20,0.347872,0.013782,0.360716,0.012845
medical,Gemini Flash,21,0.588668,0.015044,0.401647,-0.187021
medical,Gemini Flash,22,0.596769,0.016498,0.380866,-0.215903
medical,Gemini Flash,23,0.327746,0.009416,0.231407,-0.096339
medical,Gemini Flash,24,0.477249,0.032665,0.432173,-0.045076
medical,Gemini Flash,25,0.4442,0.016825,0.388949,-0.055251
medical,Gemini Flash,26,0.564469,0.013354,0.458918,-0.105551
medical,Gemini Flash,27,0.423525,0.008038,0.246868,-0.176657
medical,Gemini Flash,28,0.442167,0.017546,0.454889,0.012722
medical,Gemini Flash,29,0.287709,0.011918,0.317509,0.0298
medical,Gemini Flash,30,0.823196,0.014373,0.429122,-0.394074
medical,Claude Haiku,1,0.159299,0.005709,0.239165,0.079866
medical,Claude Haiku,2,0.218359,0.007953,0.218329,-2.9e-05
medical,Claude Haiku,3,0.50912,0.010448,0.375407,-0.133713
medical,Claude Haiku,4,0.274645,0.007956,0.306283,0.031638
medical,Claude Haiku,5,0.207313,0.005258,0.239608,0.032295
medical,Claude Haiku,6,0.345349,0.008302,0.323632,-0.021718
medical,Claude Haiku,7,0.20114,0.006278,0.215795,0.014655
medical,Claude Haiku,8,0.42946,0.008092,0.353727,-0.075733
medical,Claude Haiku,9,0.190237,0.00525,0.203666,0.013429
medical,Claude Haiku,10,0.614118,0.009639,0.312098,-0.30202
medical,Claude Haiku,11,0.207668,0.005242,0.187462,-0.020207
medical,Claude Haiku,12,0.442974,0.010572,0.398683,-0.04429
medical,Claude Haiku,13,0.304128,0.009538,0.256929,-0.047199
medical,Claude Haiku,14,0.205238,0.005865,0.20262,-0.002618
medical,Claude Haiku,15,0.308273,0.005036,0.258654,-0.049619
medical,Claude Haiku,16,0.287077,0.006447,0.286706,-0.000371
medical,Claude Haiku,17,0.240983,0.006316,0.253238,0.012255
medical,Claude Haiku,18,0.31258,0.008142,0.379141,0.066561
medical,Claude Haiku,19,0.273603,0.009799,0.23514,-0.038462
medical,Claude Haiku,20,0.213266,0.005871,0.175178,-0.038088
medical,Claude Haiku,21,0.708474,0.006918,0.242689,-0.465785
medical,Claude Haiku,22,0.396059,0.009829,0.327703,-0.068356
medical,Claude Haiku,23,0.227395,0.005768,0.206333,-0.021062
